Date,Open,High,Low,Close,Vol.,Change %,sent_score,sent-1,sent-3,sent-7,Close+1,Close+3,Close+7
2022-08-10,23150.299999999996,24209.9,22714.700000000004,23962.9,243610000.0,3.5300000000000002,-0.04615384615384615,-0.018181818181818184,-0.07661616161616165,-0.05256338899196041,23935.3,24442.5,23338.0
2022-08-11,23963.3,24873.5,23864.0,23935.3,285360000.0,-0.12,0.025,-0.04615384615384615,-0.017000777000777036,-0.05575543504114932,24398.7,24302.8,23203.6
2022-08-12,23935.3,24440.8,23616.4,24398.7,194960000.0,1.94,-0.10714285714285714,0.025,-0.013111888111888147,-0.03313638742210169,24442.5,24101.7,20831.3
2022-08-13,24398.9,24882.9,24318.7,24442.5,170590000.0,0.18,-0.014285714285714282,-0.10714285714285714,-0.0427655677655678,-0.03891870034727176,24302.8,23856.8,21138.9
2022-08-14,24442.1,24997.3,24172.2,24302.8,177250000.0,-0.57,0.3,-0.014285714285714282,-0.032142857142857174,-0.05320441463298605,24101.7,23338.0,21517.2
2022-08-15,24303.3,25205.7,23784.5,24101.7,279280000.0,-0.83,-0.19285714285714284,0.3,0.059523809523809486,0.021795585367013946,23856.8,23203.6,21416.3
2022-08-16,24102.6,24240.8,23693.8,23856.8,201700000.0,-1.02,-0.20625,-0.19285714285714284,0.030952380952380915,-0.007660196945911223,23338.0,20831.3,21517.2
2022-08-17,23855.8,24423.5,23191.6,23338.0,239530000.0,-2.17,-0.15,-0.20625,-0.033035714285714314,-0.034527080062794334,23203.6,21138.9,21365.2
2022-08-18,23337.700000000004,23578.0,23131.299999999996,23203.6,160970000.0,-0.58,-0.16153846153846155,-0.15,-0.1830357142857143,-0.049362244897959165,20831.3,21517.2,21565.4
2022-08-19,23201.6,23202.3,20807.8,20831.3,339470000.0,-10.22,-0.3,-0.16153846153846155,-0.17259615384615387,-0.07601059654631083,21138.9,21416.3,20249.9
2022-08-20,20830.7,21357.4,20784.8,21138.9,206940000.0,1.48,0.08,-0.3,-0.20384615384615387,-0.10356161695447409,21517.2,21517.2,20033.9
